gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	direction
SAUSA300_RS08450	105.95531946380127	1.0597159717150777	0.10930663667547846	1.614136941391928e-22	4.2015578279938626e-22	Not significant
SAUSA300_RS05450	348.4337123116379	0.5469584674817896	0.056239529631109605	1.9233243252400739e-22	5.000643245624192e-22	Not significant
SAUSA300_RS03380	380.2760550035512	0.5289447012339962	0.05471760200947379	3.4498809690107184e-22	8.959451146688796e-22	Not significant
SAUSA300_RS11660	50.58910327007357	1.7085428645401262	0.17861465116658204	3.5074186593112076e-22	9.098491961155072e-22	Up
SAUSA300_RS08455	216.4740751340291	0.6970848728806546	0.07229279645131366	3.638294938067314e-22	9.427244856609498e-22	Not significant
SAUSA300_RS02250	216.9952950541095	0.7003903579316615	0.07259102973900605	3.646298372582548e-22	9.437234126991235e-22	Not significant
SAUSA300_RS05600	62.54311874319247	1.4566990902321986	0.15224733538621102	3.962901928169747e-22	1.0245002143847926e-21	Not significant
SAUSA300_RS01845	82.43659826128223	-1.0221488551169435	0.10663306334018503	4.341772578696075e-22	1.121172828210394e-21	Not significant
SAUSA300_RS08895	614.4453015018934	-0.3843306083174969	0.03987058994772956	4.942517706147288e-22	1.2748557575379912e-21	Not significant
SAUSA300_RS05945	184.13527123260846	-0.6886361609801078	0.07162614595797107	4.9553240121417235e-22	1.2767114527318712e-21	Not significant
SAUSA300_RS10995	164.71094319212204	0.8079617332514699	0.084404621908907	6.881086558454205e-22	1.7708678643080676e-21	Not significant
SAUSA300_RS05445	97.14334435463037	1.1361009921598955	0.11923778626679868	7.64547269367875e-22	1.9653616246462323e-21	Not significant
SAUSA300_RS08235	45.1671460049206	1.8613919524575957	0.1964138227733662	7.668890605641798e-22	1.9691564478369174e-21	Up
SAUSA300_RS07885	138.94292636518227	0.895093407896745	0.09378285447422191	8.260109545705172e-22	2.118573756085599e-21	Not significant
SAUSA300_RS12710	56.13899877511563	1.6295829706882652	0.1720695064395739	8.8688805202584e-22	2.2721512594130474e-21	Up
SAUSA300_RS08290	202.4067320063009	0.7120830329446856	0.07474911984350152	1.1417055218864962e-21	2.9216873591583562e-21	Not significant
