gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SAUSA300_RS09270	821.7980412262277	2.4579997615812212	0.04704158612301383	2832.760874019838	0	0
SAUSA300_RS09360	356.64140769523226	-2.5187770769657822	0.08923482317839546	1567.5227289596169	0	0
SAUSA300_RS09470	5264.390670818266	-2.162939707695478	0.026443455199128756	7636.223229304411	0	0
SAUSA300_RS09640	732.0388766899247	4.405520568037379	0.10954983116094039	7162.9822141301465	0	0
SAUSA300_RS09645	1049.6414009781208	2.3573490006479	0.07525625682204871	4403.160462429513	0	0
SAUSA300_RS09650	485.7835083451511	2.7809888338936677	0.08223083151033649	1579.639896943878	0	0
SAUSA300_RS09790	4283.362725840933	5.407408283613234	0.03250857768060789	35558.370513958296	0	0
SAUSA300_RS09875	3525.9553237118935	1.8526377793413011	0.031227345426722727	4584.097244300548	0	0
SAUSA300_RS10040	11213.57857006356	4.552913192636512	0.0817274160598979	12275.692630588355	0	0
SAUSA300_RS10055	1908.2403527760641	6.150360428646564	0.19843304318221447	2584.879492482336	0	0
SAUSA300_RS10105	679.1234100981095	2.575875520649708	0.05965392165650496	2484.068295659052	0	0
SAUSA300_RS10140	2253.005021193103	4.381402323644308	0.04021556042425885	14895.025682070056	0	0
SAUSA300_RS10180	937.5244348001937	-2.4393048050161816	0.06041301227157943	2160.116042496573	0	0
SAUSA300_RS10250	2527.7497442262684	1.4577589638259483	0.0363821634787506	3223.5198258394366	0	0
SAUSA300_RS10855	753.3420453353649	4.706126390280423	0.05859136290260018	8134.931141517444	0	0
